iter	Passed	Remaining
0	1	191
1	3	191
2	5	184
3	7	179
4	9	176
5	11	176
6	13	180
7	15	178
8	17	179
9	19	177
10	21	176
11	23	173
12	25	168
13	26	164
14	29	164
15	30	162
16	33	162
17	35	162
18	38	162
19	39	159
20	41	157
21	43	155
22	45	153
23	47	151
24	50	150
25	54	156
26	57	155
27	60	156
28	62	153
29	64	151
30	66	148
31	68	146
32	70	143
33	72	141
34	74	139
35	77	136
36	79	134
37	81	132
38	82	129
39	84	126
40	85	123
41	86	119
42	88	117
43	89	114
44	91	111
45	93	109
46	95	107
47	96	104
48	98	102
49	99	99
50	100	96
51	102	94
52	103	91
53	104	89
54	105	86
55	106	83
56	107	81
57	108	78
58	109	76
59	110	73
60	112	71
61	114	69
62	115	67
63	116	65
64	117	63
65	118	61
66	120	59
67	121	57
68	122	55
69	123	53
70	124	51
71	126	49
72	127	47
73	128	45
74	129	43
75	131	41
76	132	39
77	133	37
78	134	35
79	135	33
80	136	32
81	137	30
82	139	28
83	140	26
84	141	24
85	142	23
86	144	21
87	145	19
88	146	18
89	147	16
90	148	14
91	150	13
92	151	11
93	152	9
94	153	8
95	154	6
96	155	4
97	157	3
98	158	1
99	159	0
